Domain,Percent
gmail.com,0.1774
yahoo.com,0.1734
hotmail.com,0.1553
aol.com,0.0320
hotmail.co.uk,0.0127
hotmail.fr,0.0124
msn.com,0.0109
yahoo.fr,0.0098
wanadoo.fr,0.0090
orange.fr,0.0083
comcast.net,0.0076
yahoo.co.uk,0.0073
yahoo.com.br,0.0069
yahoo.co.in,0.0060
live.com,0.0056
rediffmail.com,0.0051
free.fr,0.0051
gmx.de,0.0044
web.de,0.0043
yandex.ru,0.0042
ymail.com,0.0041
libero.it,0.0038
outlook.com,0.0038
uol.com.br,0.0034
bol.com.br,0.0033
mail.ru,0.0032
cox.net,0.0025
hotmail.it,0.0025
sbcglobal.net,0.0024
sfr.fr,0.0023
live.fr,0.0023
verizon.net,0.0022
live.co.uk,0.0021
googlemail.com,0.0020
yahoo.es,0.0020
ig.com.br,0.0019
live.nl,0.0019
bigpond.com,0.0018
terra.com.br,0.0017
yahoo.it,0.0017
neuf.fr,0.0017
yahoo.de,0.0016
alice.it,0.0016
rocketmail.com,0.0015
att.net,0.0015
laposte.net,0.0015
facebook.com,0.0015
bellsouth.net,0.0015
yahoo.in,0.0014
hotmail.es,0.0013
charter.net,0.0012
yahoo.ca,0.0012
yahoo.com.au,0.0012
rambler.ru,0.0012
hotmail.de,0.0011
tiscali.it,0.0010
shaw.ca,0.0010
yahoo.co.jp,0.0010
sky.com,0.0010
earthlink.net,0.0009
optonline.net,0.0009
freenet.de,0.0009
t-online.de,0.0009
aliceadsl.fr,0.0008
virgilio.it,0.0008
home.nl,0.0007
qq.com,0.0007
telenet.be,0.0007
me.com,0.0007
yahoo.com.ar,0.0007
tiscali.co.uk,0.0007
yahoo.com.mx,0.0007
voila.fr,0.0006
gmx.net,0.0006
mail.com,0.0006
planet.nl,0.0006
tin.it,0.0006
live.it,0.0006
ntlworld.com,0.0006
arcor.de,0.0006
yahoo.co.id,0.0006
frontiernet.net,0.0006
hetnet.nl,0.0005
live.com.au,0.0005
yahoo.com.sg,0.0005
zonnet.nl,0.0005
club-internet.fr,0.0005
juno.com,0.0005
optusnet.com.au,0.0005
blueyonder.co.uk,0.0005
bluewin.ch,0.0005
skynet.be,0.0005
sympatico.ca,0.0005
windstream.net,0.0005
mac.com,0.0005
centurytel.net,0.0005
chello.nl,0.0004
live.ca,0.0004
aim.com,0.0004
bigpond.net.au,0.0004
