ID,Date,Game Type,Game Value,Position,Winnings,Total Winnings
202976690, 6-Dec-10  00:46 , NL Holdem   ,$4 ,58,-4.4,1379.4
202974194, 6-Dec-10  00:31 , NL Holdem   ,$4 ,32,-4.4,1383.8
202973574, 6-Dec-10  00:22 , NL Holdem   ,$4 ,80,-4.4,1388.2
202972990, 6-Dec-10  00:21 , NL Holdem   ,$4 ,55,-4.4,1392.6
202971459, 6-Dec-10  00:15 , NL Holdem   ,$4 ,78,-4.4,1397
202969478, 6-Dec-10  00:00 , NL Holdem   ,$4 ,45,-4.4,1401.4
202970703, 5-Dec-10  23:52 , NL Holdem   ,$4 ,18,-4.4,1405.8
202968831, 5-Dec-10  23:41 , NL Holdem   ,$4 ,45,-4.4,1410.2
202967978, 5-Dec-10  23:40 , NL Holdem   ,$4 ,75,-4.4,1414.6
202523774, 4-Dec-10  01:18 , NL Holdem   ,$4 ,90,-4.4,1419
202518380, 4-Dec-10  00:39 , NL Holdem   ,$4 ,39,-4.4,1423.4
202451618, 3-Dec-10  18:36 , NL Holdem   ,$4 ,108,-4.4,1427.8
202450287, 3-Dec-10  18:25 , NL Holdem   ,$4 ,52,-4.4,1432.2
202447373, 3-Dec-10  18:23 , NL Holdem   ,$4 ,84,-4.4,1436.6
202447977, 3-Dec-10  18:10 , NL Holdem   ,$4 ,12,3.7,1441
202446682, 3-Dec-10  18:06 , NL Holdem   ,$4 ,77,-4.4,1437.3
202437905, 3-Dec-10  17:44 , NL Holdem   ,$4 ,37,-4.4,1441.7
202443623, 3-Dec-10  17:38 , NL Holdem   ,$4 ,73,-4.4,1446.1
202440225, 3-Dec-10  17:31 , NL Holdem   ,$4 ,40,-4.4,1450.5
202435634, 3-Dec-10  17:26 , NL Holdem   ,$4 ,90,-4.4,1454.9
202438458, 3-Dec-10  17:18 , NL Holdem   ,$4 ,8,11.8,1459.3
202436730, 3-Dec-10  17:16 , NL Holdem   ,$4 ,77,-4.4,1447.5
202432393, 3-Dec-10  17:01 , NL Holdem   ,$4 ,37,-4.4,1451.9
202433478, 3-Dec-10  16:55 , NL Holdem   ,$4 ,69,-4.4,1456.3
202432907, 3-Dec-10  16:49 , NL Holdem   ,$4 ,84,-4.4,1460.7
202285267, 3-Dec-10  00:03 , NL Holdem   ,$4 ,65,-4.4,1465.1
202285765, 3-Dec-10  00:03 , NL Holdem   ,$4 ,2,92.8,1469.5
202282941, 2-Dec-10  23:43 , NL Holdem   ,$4 ,64,-4.4,1376.7
202280798, 2-Dec-10  23:35 , NL Holdem   ,$4 ,65,-4.4,1381.1
202278686, 2-Dec-10  23:11 , NL Holdem   ,$4 ,17,-4.4,1385.5
202278194, 2-Dec-10  23:09 , NL Holdem   ,$4 ,128,-4.4,1389.9
202273419, 2-Dec-10  22:49 , NL Holdem   ,$4 ,19,-4.4,1394.3
202274788, 2-Dec-10  22:49 , NL Holdem   ,$4 ,54,-4.4,1398.7
202274119, 2-Dec-10  22:43 , NL Holdem   ,$4 ,15,2.35,1403.1
201597940, 29-Nov-10  21:55 , NL Holdem   ,$4 ,5,36.1,1400.75
201595214, 29-Nov-10  21:33 , NL Holdem   ,$4 ,2,92.8,1364.65
201593755, 29-Nov-10  21:29 , NL Holdem   ,$4 ,91,-4.4,1271.85
201593305, 29-Nov-10  21:27 , NL Holdem   ,$4 ,135,-4.4,1276.25
201590562, 29-Nov-10  21:21 , NL Holdem   ,$4 ,83,-4.4,1280.65
201590074, 29-Nov-10  21:15 , NL Holdem   ,$4 ,5,36.1,1285.05
201589687, 29-Nov-10  21:14 , NL Holdem   ,$4 ,23,-4.4,1248.95
201528934, 29-Nov-10  16:08 , NL Holdem   ,$4 ,35,-4.4,1253.35
201525921, 29-Nov-10  15:43 , NL Holdem   ,$4 ,85,-4.4,1257.75
201523585, 29-Nov-10  15:28 , NL Holdem   ,$4 ,2,92.8,1262.15
201519946, 29-Nov-10  15:24 , NL Holdem   ,$4 ,121,-4.4,1169.35
201521081, 29-Nov-10  15:23 , NL Holdem   ,$4 ,7,15.85,1173.75
201521986, 29-Nov-10  15:21 , NL Holdem   ,$4 ,63,-4.4,1157.9
201518967, 29-Nov-10  15:20 , NL Holdem   ,$4 ,56,-4.4,1162.3
201516891, 29-Nov-10  15:04 , NL Holdem   ,$4 ,105,-4.4,1166.7
201517401, 29-Nov-10  15:01 , NL Holdem   ,$4 ,92,-4.4,1171.1
201516479, 29-Nov-10  14:51 , NL Holdem   ,$4 ,40,-4.4,1175.5
200962968, 27-Nov-10  00:25 , NL Holdem   ,$4 ,26,-4.4,1179.9
200962378, 27-Nov-10  00:25 , NL Holdem   ,$4 ,34,-4.4,1184.3
200961714, 27-Nov-10  00:16 , NL Holdem   ,$4 ,114,-4.4,1188.7
200960052, 27-Nov-10  00:00 , NL Holdem   ,$4 ,116,-4.4,1193.1
200958832, 26-Nov-10  23:55 , NL Holdem   ,$4 ,42,-4.4,1197.5
200958270, 26-Nov-10  23:47 , NL Holdem   ,$4 ,53,-4.4,1201.9
200957541, 26-Nov-10  23:46 , NL Holdem   ,$4 ,1,149.5,1206.3
199191136, 19-Nov-10  01:21 , NL Holdem   ,$4 ,121,-4.4,1056.8
199189636, 19-Nov-10  01:09 , NL Holdem   ,$4 ,73,-4.4,1061.2
199185743, 19-Nov-10  00:37 , NL Holdem   ,$4 ,103,-4.4,1065.6
199185090, 19-Nov-10  00:36 , NL Holdem   ,$4 ,28,-4.4,1070
199186494, 19-Nov-10  00:34 , NL Holdem   ,$4 ,48,-4.4,1074.4
199181157, 19-Nov-10  00:22 , NL Holdem   ,$4 ,129,-4.4,1078.8
199181891, 19-Nov-10  00:18 , NL Holdem   ,$4 ,20,-4.4,1083.2
199182615, 19-Nov-10  00:11 , NL Holdem   ,$4 ,87,-4.4,1087.6
199179538, 18-Nov-10  23:45 , NL Holdem   ,$4 ,65,-4.4,1092
199178820, 18-Nov-10  23:44 , NL Holdem   ,$4 ,77,-4.4,1096.4
199176483, 18-Nov-10  23:38 , NL Holdem   ,$4 ,86,-4.4,1100.8
199175088, 18-Nov-10  23:35 , NL Holdem   ,$4 ,113,-4.4,1105.2
199174386, 18-Nov-10  23:34 , NL Holdem   ,$4 ,30,-4.4,1109.6
199175856, 18-Nov-10  23:33 , NL Holdem   ,$4 ,66,-4.4,1114
198141539, 14-Nov-10  13:56 , NL Holdem   ,$4 ,32,-4.4,1118.4
198136661, 14-Nov-10  13:42 , NL Holdem   ,$4 ,47,-4.4,1122.8
198131205, 14-Nov-10  13:20 , NL Holdem   ,$4 ,49,-4.4,1127.2
198136059, 14-Nov-10  13:19 , NL Holdem   ,$4 ,16,-4.4,1131.6
198132876, 14-Nov-10  13:01 , NL Holdem   ,$4 ,3,65.8,1136
198127218, 14-Nov-10  12:42 , NL Holdem   ,$4 ,56,-4.4,1070.2
198125092, 14-Nov-10  12:42 , NL Holdem   ,$4 ,22,-4.4,1074.6
198124417, 14-Nov-10  12:34 , NL Holdem   ,$4 ,12,3.7,1079
198125757, 14-Nov-10  12:25 , NL Holdem   ,$4 ,118,-4.4,1075.3
197229439, 10-Nov-10  14:22 , NL Holdem   ,$4 ,3,65.8,1079.7
197225156, 10-Nov-10  14:13 , NL Holdem   ,$4 ,9,7.75,1013.9
197222674, 10-Nov-10  13:48 , NL Holdem   ,$4 ,85,-4.4,1006.15
197220037, 10-Nov-10  13:47 , NL Holdem   ,$4 ,98,-4.4,1010.55
197220812, 10-Nov-10  13:40 , NL Holdem   ,$4 ,21,-4.4,1014.95
197219141, 10-Nov-10  13:36 , NL Holdem   ,$4 ,1,149.5,1019.35
196749137, 8-Nov-10  13:25 , NL Holdem   ,$4 ,54,-4.4,869.85
196750464, 8-Nov-10  13:20 , NL Holdem   ,$4 ,50,-4.4,874.25
196749836, 8-Nov-10  13:16 , NL Holdem   ,$4 ,32,-4.4,878.65
196743508, 8-Nov-10  12:58 , NL Holdem   ,$4 ,28,-4.4,883.05
196742726, 8-Nov-10  12:41 , NL Holdem   ,$4 ,31,-4.4,887.45
196739326, 8-Nov-10  12:38 , NL Holdem   ,$4 ,77,-4.4,891.85
196738603, 8-Nov-10  12:28 , NL Holdem   ,$4 ,19,-4.4,896.25
196740568, 8-Nov-10  12:16 , NL Holdem   ,$4 ,80,-4.4,900.65
196737916, 8-Nov-10  12:13 , NL Holdem   ,$4 ,90,-4.4,905.05
195208932, 1-Nov-10  19:52 , NL Holdem   ,$4 ,24,-4.4,909.45
195204055, 1-Nov-10  19:18 , NL Holdem   ,$4 ,66,-4.4,913.85
194832543, 31-Oct-10  02:47 , NL Holdem   ,$4 ,40,-4.4,918.25
194831760, 31-Oct-10  02:43 , NL Holdem   ,$4 ,119,-4.4,922.65
194830397, 31-Oct-10  02:23 , NL Holdem   ,$4 ,103,-4.4,927.05
194829163, 31-Oct-10  02:12 , NL Holdem   ,$4 ,101,-4.4,931.45
194827072, 31-Oct-10  02:01 , NL Holdem   ,$4 ,9,7.75,935.85
194826108, 31-Oct-10  01:50 , NL Holdem   ,$4 ,45,-4.4,928.1
194826559, 31-Oct-10  01:42 , NL Holdem   ,$4 ,8,11.8,932.5
194790353, 30-Oct-10  21:29 , NL Holdem   ,$4 ,25,-4.4,920.7
194788862, 30-Oct-10  21:23 , NL Holdem   ,$4 ,24,-4.4,925.1
194786596, 30-Oct-10  21:23 , NL Holdem   ,$4 ,83,-4.4,929.5
194789345, 30-Oct-10  21:22 , NL Holdem   ,$4 ,23,-4.4,933.9
194783205, 30-Oct-10  20:47 , NL Holdem   ,$4 ,57,-4.4,938.3
194783844, 30-Oct-10  20:45 , NL Holdem   ,$4 ,37,-4.4,942.7
194780902, 30-Oct-10  20:40 , NL Holdem   ,$4 ,89,-4.4,947.1
194781899, 30-Oct-10  20:35 , NL Holdem   ,$4 ,119,-4.4,951.5
194780150, 30-Oct-10  20:34 , NL Holdem   ,$4 ,13,2.35,955.9
194599291, 30-Oct-10  00:34 , NL Holdem   ,$4 ,27,-4.4,953.55
194592627, 30-Oct-10  00:01 , NL Holdem   ,$4 ,1,149.5,957.95
194592085, 29-Oct-10  23:52 , NL Holdem   ,$4 ,130,-4.4,808.45
194589638, 29-Oct-10  23:34 , NL Holdem   ,$4 ,88,-4.4,812.85
194587790, 29-Oct-10  23:34 , NL Holdem   ,$4 ,122,-4.4,817.25
194586644, 29-Oct-10  23:33 , NL Holdem   ,$4 ,96,-4.4,821.65
194587210, 29-Oct-10  23:31 , NL Holdem   ,$4 ,3,65.8,826.05
194588975, 29-Oct-10  23:25 , NL Holdem   ,$4 ,9,7.75,760.25
194386672, 29-Oct-10  02:02 , NL Holdem   ,$4 ,25,-4.4,752.5
194387847, 29-Oct-10  01:54 , NL Holdem   ,$4 ,56,-4.4,756.9
194384736, 29-Oct-10  01:49 , NL Holdem   ,$4 ,50,-4.4,761.3
194384148, 29-Oct-10  01:42 , NL Holdem   ,$4 ,55,-4.4,765.7
194383498, 29-Oct-10  01:31 , NL Holdem   ,$4 ,94,-4.4,770.1
194382375, 29-Oct-10  01:26 , NL Holdem   ,$4 ,3,65.8,774.5
194381214, 29-Oct-10  01:19 , NL Holdem   ,$4 ,126,-4.4,708.7
194379928, 29-Oct-10  01:05 , NL Holdem   ,$4 ,54,-4.4,713.1
194375403, 29-Oct-10  00:33 , NL Holdem   ,$4 ,24,-4.4,717.5
